#Pin Out file generated by Lattice Diamond Version 1.4.1.91
#Generated at Fri Mar 30 06:47:36 2012
#DEVICE=LCMXO2280C
#PACKAGE=FTBGA256
Index, Pin/Ball Function, Type, Bank, Dual Function, Differential, Pin Number, DQS, I/O Grouping
277, PT14C, IO, 1, -, TRUE_OF_PT14D, D11, , +, 
278, PT14B, IO, 1, -, COMP_OF_PT14A, A14, , +, 
279, PT14A, IO, 1, D7, TRUE_OF_PT14B, A13, , +, 
280, PT13D, IO, 1, -, COMP_OF_PT13C, C12, , +, 
281, PT13C, IO, 1, -, TRUE_OF_PT13D, C11, , +, 
282, PT13B, IO, 1, -, COMP_OF_PT13A, -, , +, 
283, PT13A, IO, 1, -, TRUE_OF_PT13B, -, , +, 
284, VCCIO1, , 1, -, , VCCIO1, , +, 
285, GNDIO1, , , -, , GND, , -, 
286, PT12F, IO, 1, -, COMP_OF_PT12E, -, , -, 
287, PT12E, IO, 1, -, TRUE_OF_PT12F, -, , -, 
288, PT12D, IO, 1, -, COMP_OF_PT12C, B12, , -, 
289, PT12C, IO, 1, D6, TRUE_OF_PT12D, B11, , -, 
290, PT12B, IO, 1, -, COMP_OF_PT12A, A12, , -, 
291, PT12A, IO, 1, -, TRUE_OF_PT12B, A11, , -, 
292, PT11D, IO, 1, -, COMP_OF_PT11C, -, , -, 
293, GND, , , -, , GND, , +, 
294, PT11C, IO, 1, -, TRUE_OF_PT11D, -, , +, 
295, PT11B, IO, 1, -, COMP_OF_PT11A, B10, , +, 
296, PT11A, IO, 1, -, TRUE_OF_PT11B, B9, , +, 
297, PT10F, IO, 1, -, COMP_OF_PT10E, D10, , +, 
298, PT10E, IO, 1, -, TRUE_OF_PT10F, D9, , +, 
299, VCCIO1, , 1, -, , VCCIO1, , +, 
300, GNDIO1, , , -, , GND, , -, 
301, PT10D, IO, 1, -, COMP_OF_PT10C, C10, , -, 
302, PT10C, IO, 1, -, TRUE_OF_PT10D, C9, , -, 
303, PT10B, IO, 1, PCLKT1_1, COMP_OF_PT10A, A9, , -, 
